,Unnamed: 0,yield,plot_id,var_num,treatment,rep,row_num,range_num
0,0,641.2188273,12,2,2,1,0,12
1,1,697.97988,11,1,2,1,0,11
2,2,709.8914786,9,1,8,1,0,9
3,3,674.1916718,8,2,6,1,0,8
4,4,680.4306641,7,1,6,1,0,7
5,5,965.1194023,6,2,3,2,0,6
6,6,908.7694714,4,1,3,2,0,4
7,7,796.7081605,3,2,2,2,0,3
8,8,911.7741595,2,1,2,2,0,2
9,9,670.6840155,1,2,1,2,0,1
10,10,853.4823341,25,2,4,1,1,12
11,11,753.7656118,24,1,4,1,1,11
12,12,807.4979214,23,2,5,1,1,10
13,13,554.56397,22,1,5,1,1,9
14,14,589.6711491,21,2,1,1,1,8
15,15,588.7548723,20,1,1,1,1,7
16,16,832.1739777,17,1,7,2,1,4
17,17,802.5097891,15,1,6,2,1,2
18,18,617.3453332,13,1,4,2,1,0
19,19,882.1646414,38,2,3,1,2,12
20,20,762.6506541,37,1,3,1,2,11
21,21,761.6709595,35,1,9,1,2,9
22,22,933.9135068,33,1,7,1,2,7
23,23,916.9372373,31,2,9,2,2,5
24,24,967.9994418,30,1,9,2,2,4
25,25,817.91811,29,2,8,2,2,3
26,26,1124.153568,28,1,8,2,2,2
27,27,818.5391664,26,1,5,2,2,0
28,28,883.0896655,51,2,6,4,3,12
29,29,783.0055577,50,1,6,4,3,11
30,30,931.7726118,49,2,4,4,3,10
31,31,719.4544345,48,1,4,4,3,9
32,32,993.2834336,47,2,3,4,3,8
33,33,1004.88013,46,1,3,4,3,7
34,34,1090.146358,44,2,5,3,3,5
35,35,981.6758027,43,1,5,3,3,4
36,36,738.4753791,41,1,1,3,3,2
37,37,942.1599982,40,2,4,3,3,1
38,38,918.9163077,39,1,4,3,3,0
39,39,932.3433714,64,2,7,4,4,12
40,40,752.3726086,62,2,1,4,4,10
41,41,556.0160173,61,1,1,4,4,9
42,42,846.7447473,60,2,2,4,4,8
43,43,949.9428841,59,1,2,4,4,7
44,44,942.6476586,56,1,3,3,4,4
45,45,1012.490258,55,2,9,3,4,3
46,46,1009.465888,54,1,9,3,4,2
47,47,820.0546314,53,2,6,3,4,1
48,48,879.8181855,52,1,6,3,4,0
49,49,1035.27909,77,2,9,4,5,12
50,50,979.9875791,75,2,5,4,5,10
51,51,785.0458591,74,1,5,4,5,9
52,52,892.2502468,73,2,8,4,5,8
53,53,900.1512209,70,2,7,3,5,5
54,54,858.42673,69,1,7,3,5,4
55,55,792.4941618,67,1,2,3,5,2
56,56,920.0140905,66,2,8,3,5,1
57,57,848.6800814,65,1,8,3,5,0
